participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.selected_round,participant.stopped_at,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.num_roadblockers,session.treatment,activism.1.player.id_in_group,activism.1.player.role,activism.1.player.payoff,activism.1.player.effort_score,activism.1.player.wage,activism.1.player.contribution,activism.1.player.actual_effort_time,activism.1.player.chose_activism,activism.1.player.round_payoff,activism.1.player.seat_number,activism.1.group.id_in_subsession,activism.1.group.num_activists,activism.1.group.num_roadblockers,activism.1.group.treatment,activism.1.group.total_contribution,activism.1.subsession.round_number,activism.2.player.id_in_group,activism.2.player.role,activism.2.player.payoff,activism.2.player.effort_score,activism.2.player.wage,activism.2.player.contribution,activism.2.player.actual_effort_time,activism.2.player.chose_activism,activism.2.player.round_payoff,activism.2.player.seat_number,activism.2.group.id_in_subsession,activism.2.group.num_activists,activism.2.group.num_roadblockers,activism.2.group.treatment,activism.2.group.total_contribution,activism.2.subsession.round_number,activism.3.player.id_in_group,activism.3.player.role,activism.3.player.payoff,activism.3.player.effort_score,activism.3.player.wage,activism.3.player.contribution,activism.3.player.actual_effort_time,activism.3.player.chose_activism,activism.3.player.round_payoff,activism.3.player.seat_number,activism.3.group.id_in_subsession,activism.3.group.num_activists,activism.3.group.num_roadblockers,activism.3.group.treatment,activism.3.group.total_contribution,activism.3.subsession.round_number,activism.4.player.id_in_group,activism.4.player.role,activism.4.player.payoff,activism.4.player.effort_score,activism.4.player.wage,activism.4.player.contribution,activism.4.player.actual_effort_time,activism.4.player.chose_activism,activism.4.player.round_payoff,activism.4.player.seat_number,activism.4.group.id_in_subsession,activism.4.group.num_activists,activism.4.group.num_roadblockers,activism.4.group.treatment,activism.4.group.total_contribution,activism.4.subsession.round_number,activism.5.player.id_in_group,activism.5.player.role,activism.5.player.payoff,activism.5.player.effort_score,activism.5.player.wage,activism.5.player.contribution,activism.5.player.actual_effort_time,activism.5.player.chose_activism,activism.5.player.round_payoff,activism.5.player.seat_number,activism.5.group.id_in_subsession,activism.5.group.num_activists,activism.5.group.num_roadblockers,activism.5.group.treatment,activism.5.group.total_contribution,activism.5.subsession.round_number,activism.6.player.id_in_group,activism.6.player.role,activism.6.player.payoff,activism.6.player.effort_score,activism.6.player.wage,activism.6.player.contribution,activism.6.player.actual_effort_time,activism.6.player.chose_activism,activism.6.player.round_payoff,activism.6.player.seat_number,activism.6.group.id_in_subsession,activism.6.group.num_activists,activism.6.group.num_roadblockers,activism.6.group.treatment,activism.6.group.total_contribution,activism.6.subsession.round_number,activism.7.player.id_in_group,activism.7.player.role,activism.7.player.payoff,activism.7.player.effort_score,activism.7.player.wage,activism.7.player.contribution,activism.7.player.actual_effort_time,activism.7.player.chose_activism,activism.7.player.round_payoff,activism.7.player.seat_number,activism.7.group.id_in_subsession,activism.7.group.num_activists,activism.7.group.num_roadblockers,activism.7.group.treatment,activism.7.group.total_contribution,activism.7.subsession.round_number,activism.8.player.id_in_group,activism.8.player.role,activism.8.player.payoff,activism.8.player.effort_score,activism.8.player.wage,activism.8.player.contribution,activism.8.player.actual_effort_time,activism.8.player.chose_activism,activism.8.player.round_payoff,activism.8.player.seat_number,activism.8.group.id_in_subsession,activism.8.group.num_activists,activism.8.group.num_roadblockers,activism.8.group.treatment,activism.8.group.total_contribution,activism.8.subsession.round_number,activism.9.player.id_in_group,activism.9.player.role,activism.9.player.payoff,activism.9.player.effort_score,activism.9.player.wage,activism.9.player.contribution,activism.9.player.actual_effort_time,activism.9.player.chose_activism,activism.9.player.round_payoff,activism.9.player.seat_number,activism.9.group.id_in_subsession,activism.9.group.num_activists,activism.9.group.num_roadblockers,activism.9.group.treatment,activism.9.group.total_contribution,activism.9.subsession.round_number,activism.10.player.id_in_group,activism.10.player.role,activism.10.player.payoff,activism.10.player.effort_score,activism.10.player.wage,activism.10.player.contribution,activism.10.player.actual_effort_time,activism.10.player.chose_activism,activism.10.player.round_payoff,activism.10.player.seat_number,activism.10.group.id_in_subsession,activism.10.group.num_activists,activism.10.group.num_roadblockers,activism.10.group.treatment,activism.10.group.total_contribution,activism.10.subsession.round_number,activism.11.player.id_in_group,activism.11.player.role,activism.11.player.payoff,activism.11.player.effort_score,activism.11.player.wage,activism.11.player.contribution,activism.11.player.actual_effort_time,activism.11.player.chose_activism,activism.11.player.round_payoff,activism.11.player.seat_number,activism.11.group.id_in_subsession,activism.11.group.num_activists,activism.11.group.num_roadblockers,activism.11.group.treatment,activism.11.group.total_contribution,activism.11.subsession.round_number,activism.12.player.id_in_group,activism.12.player.role,activism.12.player.payoff,activism.12.player.effort_score,activism.12.player.wage,activism.12.player.contribution,activism.12.player.actual_effort_time,activism.12.player.chose_activism,activism.12.player.round_payoff,activism.12.player.seat_number,activism.12.group.id_in_subsession,activism.12.group.num_activists,activism.12.group.num_roadblockers,activism.12.group.treatment,activism.12.group.total_contribution,activism.12.subsession.round_number,activism.13.player.id_in_group,activism.13.player.role,activism.13.player.payoff,activism.13.player.effort_score,activism.13.player.wage,activism.13.player.contribution,activism.13.player.actual_effort_time,activism.13.player.chose_activism,activism.13.player.round_payoff,activism.13.player.seat_number,activism.13.group.id_in_subsession,activism.13.group.num_activists,activism.13.group.num_roadblockers,activism.13.group.treatment,activism.13.group.total_contribution,activism.13.subsession.round_number,activism.14.player.id_in_group,activism.14.player.role,activism.14.player.payoff,activism.14.player.effort_score,activism.14.player.wage,activism.14.player.contribution,activism.14.player.actual_effort_time,activism.14.player.chose_activism,activism.14.player.round_payoff,activism.14.player.seat_number,activism.14.group.id_in_subsession,activism.14.group.num_activists,activism.14.group.num_roadblockers,activism.14.group.treatment,activism.14.group.total_contribution,activism.14.subsession.round_number,questionnaire.1.player.id_in_group,questionnaire.1.player.role,questionnaire.1.player.payoff,questionnaire.1.player.q1_support,questionnaire.1.player.q1_pressure,questionnaire.1.player.q1_convincing,questionnaire.1.player.q1_too_extreme,questionnaire.1.player.q1_no_earnings_effect,questionnaire.1.player.q1_reciprocate,questionnaire.1.player.q1_autonomy,questionnaire.1.player.q1_motivation_other,questionnaire.1.player.q2_activism_choice,questionnaire.1.player.q3_personal_cost,questionnaire.1.player.q4_cost_to_others,questionnaire.1.player.q5_extremity,questionnaire.1.player.q6_legitimacy,questionnaire.1.player.q7_social_id,questionnaire.1.player.q8_compassion,questionnaire.1.player.q8_sympathy,questionnaire.1.player.q8_annoyance,questionnaire.1.group.id_in_subsession,questionnaire.1.subsession.round_number
1,r6cd7e3m,28,0,143,143,questionnaire,ThankYou,35:26.3,1,,,19.5,petition,9,1781013279,tdmddbpq,,,,,0,activism_pet_first,5,,,3,,0,10,100,33,45,,128.2,28,1,,,petition,153,1,3,,0,12,120,20,45,,108,,1,,,petition,20,2,3,,0,11,110,0,45,,118,,1,,,petition,20,3,3,,0,10,100,0,45,,100,,1,,,petition,0,4,3,,0,10,100,0,45,,100,,1,,,petition,0,5,3,,0,10,100,0,45,,100,,1,,,petition,0,6,3,,0,10,100,0,45,,100,,1,,,petition,0,7,3,,0,12,120,0,45,0,186,,1,3,0,petition,165,8,3,,0,13,130,30,45,1,130,,1,3,0,petition,75,9,3,,0,12,120,30,45,1,116,,1,3,0,petition,65,10,3,,0,13,130,20,45,1,138,,1,3,0,petition,70,11,3,,0,11,110,20,45,1,110,,1,3,0,petition,50,12,3,,0,12,120,20,45,1,126,,1,3,0,petition,65,13,3,,0,14,140,0,45,1,148,,1,3,0,petition,20,14,1,,0,0,1,0,0,0,0,0,,Petition (0 cost to you),4,2,3,3,3,3,4,2,1,1
6,hw7ddtgh,13,0,143,143,questionnaire,ThankYou,35:27.5,1,,,13.5,petition,9,1781013327,tdmddbpq,,,,,0,activism_pet_first,5,,,1,,0,6,60,0,45,,121.2,13,1,,,petition,153,1,1,,0,8,80,0,45,,88,,1,,,petition,20,2,1,,0,6,60,0,45,,68,,1,,,petition,20,3,1,,0,10,100,0,45,,100,,1,,,petition,0,4,1,,0,11,110,0,45,,110,,1,,,petition,0,5,1,,0,9,90,0,45,,90,,1,,,petition,0,6,1,,0,10,100,0,45,,100,,1,,,petition,0,7,1,,0,8,80,10,45,1,136,,1,3,0,petition,165,8,1,,0,7,70,10,45,1,90,,1,3,0,petition,75,9,1,,0,9,90,15,45,1,101,,1,3,0,petition,65,10,1,,0,11,110,20,45,1,118,,1,3,0,petition,70,11,1,,0,10,100,10,45,1,110,,1,3,0,petition,50,12,1,,0,10,100,15,45,1,111,,1,3,0,petition,65,13,1,,0,11,110,20,45,1,98,,1,3,0,petition,20,14,6,,0,0,0,0,0,0,0,0,higher payoff,Petition (0 cost to you),2,5,2,4,3,3,3,2,1,1
13,evnisgib,26,0,143,143,questionnaire,ThankYou,35:28.3,1,,,24,petition,9,1781013350,tdmddbpq,,,,,0,activism_pet_first,5,,,4,,0,12,120,120,45,,61.2,26,1,,,petition,153,1,4,,0,15,150,0,45,,158,,1,,,petition,20,2,4,,0,13,130,0,45,,138,,1,,,petition,20,3,4,,0,10,100,0,45,,100,,1,,,petition,0,4,4,,0,14,140,0,45,,140,,1,,,petition,0,5,4,,0,13,130,0,45,,130,,1,,,petition,0,6,4,,0,12,120,0,45,,120,,1,,,petition,0,7,4,,0,15,150,125,45,1,91,,1,3,0,petition,165,8,4,,0,13,130,0,45,0,160,,1,3,0,petition,75,9,4,,0,15,150,0,45,0,176,,1,3,0,petition,65,10,4,,0,15,150,0,45,0,178,,1,3,0,petition,70,11,4,,0,15,150,0,45,0,170,,1,3,0,petition,50,12,4,,0,13,130,0,45,0,156,,1,3,0,petition,65,13,4,,0,14,140,0,45,0,148,,1,3,0,petition,20,14,13,,0,0,0,1,0,0,0,0,,Petition (0 cost to you),1,3,1,1,4,2,3,4,1,1
19,fevonr07,4,0,143,143,questionnaire,ThankYou,35:28.8,1,,,18.75,petition,9,1781013410,tdmddbpq,,,,,0,activism_pet_first,5,,,2,,0,12,120,0,45,,181.2,4,1,,,petition,153,1,2,,0,14,140,0,45,,148,,1,,,petition,20,2,2,,0,12,120,20,45,,108,,1,,,petition,20,3,2,,0,13,130,0,45,,130,,1,,,petition,0,4,2,,0,14,140,0,45,,140,,1,,,petition,0,5,2,,0,13,130,0,45,,130,,1,,,petition,0,6,2,,0,12,120,0,45,,120,,1,,,petition,0,7,2,,0,15,150,30,45,1,186,,1,3,0,petition,165,8,2,,0,13,130,35,45,1,125,,1,3,0,petition,75,9,2,,0,13,130,20,45,1,136,,1,3,0,petition,65,10,2,,0,15,150,30,45,1,148,,1,3,0,petition,70,11,2,,0,15,150,20,45,1,150,,1,3,0,petition,50,12,2,,0,15,150,30,45,1,146,,1,3,0,petition,65,13,2,,0,15,150,0,45,1,158,,1,3,0,petition,20,14,19,,0,0,0,0,0,0,1,0,I wanted to earn more points through cooperation,None of the above,3,4,2,4,2,3,2,4,1,1
2,gl3plip3,24,0,58,143,activism,WaitForResults,35:26.6,1,,,0,demonstration,,,tdmddbpq,,,,,0,activism_pet_first,5,,,1,,0,12,120,20,45,,128,24,2,,,demonstration,70,1,1,,0,13,130,20,45,,134,,2,,,demonstration,60,2,1,,0,14,140,20,45,,140,,2,,,demonstration,50,3,1,,0,13,130,10,45,,136,,2,,,demonstration,40,4,1,,0,15,150,30,45,,136,,2,,,demonstration,40,5,1,,0,11,110,0,45,,,,2,,,demonstration,,6,1,,0,,,,45,,,,2,,,demonstration,,7,1,,0,,,,,,,,2,,,demonstration,,8,1,,0,,,,,,,,2,,,demonstration,,9,1,,0,,,,,,,,2,,,demonstration,,10,1,,0,,,,,,,,2,,,demonstration,,11,1,,0,,,,,,,,2,,,demonstration,,12,1,,0,,,,,,,,2,,,demonstration,,13,1,,0,,,,,,,,2,,,demonstration,,14,2,,0,,,,,,,,,,,,,,,,,,1,1
10,84zpvizz,9,0,49,143,activism,RoundResults,35:27.9,1,,,0,demonstration,,,tdmddbpq,,,,,0,activism_pet_first,5,,,4,,0,7,70,20,45,,78,9,2,,,demonstration,70,1,4,,0,13,130,0,45,,154,,2,,,demonstration,60,2,4,,0,12,120,0,45,,140,,2,,,demonstration,50,3,4,,0,8,80,0,45,,96,,2,,,demonstration,40,4,4,,0,10,100,0,45,,,,2,,,demonstration,40,5,4,,0,,,,45,,,,2,,,demonstration,,6,4,,0,,,,45,,,,2,,,demonstration,,7,4,,0,,,,,,,,2,,,demonstration,,8,4,,0,,,,,,,,2,,,demonstration,,9,4,,0,,,,,,,,2,,,demonstration,,10,4,,0,,,,,,,,2,,,demonstration,,11,4,,0,,,,,,,,2,,,demonstration,,12,4,,0,,,,,,,,2,,,demonstration,,13,4,,0,,,,,,,,2,,,demonstration,,14,10,,0,,,,,,,,,,,,,,,,,,1,1
12,hd9e5rlc,17,0,58,143,activism,WaitForResults,35:28.0,1,,,0,demonstration,,,tdmddbpq,,,,,0,activism_pet_first,5,,,3,,0,10,100,30,45,,98,17,2,,,demonstration,70,1,3,,0,11,110,30,45,,104,,2,,,demonstration,60,2,3,,0,13,130,30,45,,120,,2,,,demonstration,50,3,3,,0,11,110,20,45,,106,,2,,,demonstration,40,4,3,,0,10,100,10,45,,106,,2,,,demonstration,40,5,3,,0,10,100,10,45,,,,2,,,demonstration,,6,3,,0,,,,45,,,,2,,,demonstration,,7,3,,0,,,,,,,,2,,,demonstration,,8,3,,0,,,,,,,,2,,,demonstration,,9,3,,0,,,,,,,,2,,,demonstration,,10,3,,0,,,,,,,,2,,,demonstration,,11,3,,0,,,,,,,,2,,,demonstration,,12,3,,0,,,,,,,,2,,,demonstration,,13,3,,0,,,,,,,,2,,,demonstration,,14,12,,0,,,,,,,,,,,,,,,,,,1,1
23,t5bft775,3,0,58,143,activism,WaitForResults,35:29.6,1,,,0,demonstration,,,tdmddbpq,,,,,0,activism_pet_first,5,,,2,,0,9,90,0,45,,118,3,2,,,demonstration,70,1,2,,0,9,90,10,45,,104,,2,,,demonstration,60,2,2,,0,8,80,0,45,,100,,2,,,demonstration,50,3,2,,0,8,80,10,45,,86,,2,,,demonstration,40,4,2,,0,8,80,0,45,,96,,2,,,demonstration,40,5,2,,0,5,50,0,45,,,,2,,,demonstration,,6,2,,0,,,,45,,,,2,,,demonstration,,7,2,,0,,,,,,,,2,,,demonstration,,8,2,,0,,,,,,,,2,,,demonstration,,9,2,,0,,,,,,,,2,,,demonstration,,10,2,,0,,,,,,,,2,,,demonstration,,11,2,,0,,,,,,,,2,,,demonstration,,12,2,,0,,,,,,,,2,,,demonstration,,13,2,,0,,,,,,,,2,,,demonstration,,14,23,,0,,,,,,,,,,,,,,,,,,1,1
3,0m90edei,27,0,142,143,questionnaire,FinalPayoff,35:27.0,1,,,0,roadblock,,,tdmddbpq,,,,,0,activism_pet_first,5,,,2,,0,11,110,1,45,,125.4,27,3,,,roadblock,41,1,2,,0,12,120,1,45,,136.2,,3,,,roadblock,43,2,2,,0,13,130,1,45,,147.8,,3,,,roadblock,47,3,2,,0,10,100,1,45,,112.6,,3,,,roadblock,34,4,2,,0,12,120,1,45,,131.4,,3,,,roadblock,31,5,2,,0,11,110,1,45,,122.2,,3,,,roadblock,33,6,2,,0,9,90,0,45,,106,,3,,,roadblock,40,7,2,,0,12,120,1,40,0,131.4,,3,2,2,roadblock,31,8,2,,0,12,120,1,40,0,131,,3,2,2,roadblock,30,9,2,,0,11,110,1,40,0,119.4,,3,1,1,roadblock,26,10,2,,0,11,110,1,40,0,117.4,,3,1,1,roadblock,21,11,2,,0,11,110,1,40,0,115.4,,3,1,1,roadblock,16,12,2,,0,12,120,1,40,0,124.6,,3,2,2,roadblock,14,13,2,,0,11,110,1,40,0,115.4,,3,2,2,roadblock,16,14,3,,0,0,0,0,0,0,0,1,,Petition (0 cost to you),2,3,2,3,2,3,3,3,1,1
16,f6vny8d1,19,0,143,143,questionnaire,ThankYou,35:28.5,1,,,10.89,roadblock,13,1781013203,tdmddbpq,,,,,0,activism_pet_first,5,,,1,,0,8,80,10,45,,86.4,19,3,,,roadblock,41,1,1,,0,8,80,12,45,,85.2,,3,,,roadblock,43,2,1,,0,11,110,16,45,,112.8,,3,,,roadblock,47,3,1,,0,9,90,13,45,,90.6,,3,,,roadblock,34,4,1,,0,4,40,0,45,,52.4,,3,,,roadblock,31,5,1,,0,8,80,2,45,,91.2,,3,,,roadblock,33,6,1,,0,9,90,20,45,,86,,3,,,roadblock,40,7,1,,0,7,70,10,35,1,72.4,,3,2,2,roadblock,31,8,1,,0,7,70,9,35,1,73,,3,2,2,roadblock,30,9,1,,0,6,60,5,35,1,65.4,,3,1,1,roadblock,26,10,1,,0,8,80,10,35,1,78.4,,3,1,1,roadblock,21,11,1,,0,7,70,5,35,1,71.4,,3,1,1,roadblock,16,12,1,,0,7,70,3,35,1,72.6,,3,2,2,roadblock,14,13,1,,0,9,90,5,35,1,91.4,,3,2,2,roadblock,16,14,16,,0,1,0,0,0,0,0,0,,Road blocking (Cost: -10 sec to you; -5 sec to others),3,4,3,4,4,4,4,3,1,1
