"participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._current_page_name","participant.time_started_utc","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","participant.treatment","participant.selected_round","participant.stopped_at","session.code","session.label","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo","session.config.name","session.config.participation_fee","session.num_roadblockers","session.treatment","activism.1.player.id_in_group","activism.1.player.role","activism.1.player.payoff","activism.1.player.effort_score","activism.1.player.wage","activism.1.player.contribution","activism.1.player.actual_effort_time","activism.1.player.chose_activism","activism.1.player.round_payoff","activism.1.player.seat_number","activism.1.group.id_in_subsession","activism.1.group.num_activists","activism.1.group.num_roadblockers","activism.1.group.treatment","activism.1.subsession.round_number","activism.2.player.id_in_group","activism.2.player.role","activism.2.player.payoff","activism.2.player.effort_score","activism.2.player.wage","activism.2.player.contribution","activism.2.player.actual_effort_time","activism.2.player.chose_activism","activism.2.player.round_payoff","activism.2.player.seat_number","activism.2.group.id_in_subsession","activism.2.group.num_activists","activism.2.group.num_roadblockers","activism.2.group.treatment","activism.2.subsession.round_number","activism.3.player.id_in_group","activism.3.player.role","activism.3.player.payoff","activism.3.player.effort_score","activism.3.player.wage","activism.3.player.contribution","activism.3.player.actual_effort_time","activism.3.player.chose_activism","activism.3.player.round_payoff","activism.3.player.seat_number","activism.3.group.id_in_subsession","activism.3.group.num_activists","activism.3.group.num_roadblockers","activism.3.group.treatment","activism.3.subsession.round_number","activism.4.player.id_in_group","activism.4.player.role","activism.4.player.payoff","activism.4.player.effort_score","activism.4.player.wage","activism.4.player.contribution","activism.4.player.actual_effort_time","activism.4.player.chose_activism","activism.4.player.round_payoff","activism.4.player.seat_number","activism.4.group.id_in_subsession","activism.4.group.num_activists","activism.4.group.num_roadblockers","activism.4.group.treatment","activism.4.subsession.round_number","activism.5.player.id_in_group","activism.5.player.role","activism.5.player.payoff","activism.5.player.effort_score","activism.5.player.wage","activism.5.player.contribution","activism.5.player.actual_effort_time","activism.5.player.chose_activism","activism.5.player.round_payoff","activism.5.player.seat_number","activism.5.group.id_in_subsession","activism.5.group.num_activists","activism.5.group.num_roadblockers","activism.5.group.treatment","activism.5.subsession.round_number","activism.6.player.id_in_group","activism.6.player.role","activism.6.player.payoff","activism.6.player.effort_score","activism.6.player.wage","activism.6.player.contribution","activism.6.player.actual_effort_time","activism.6.player.chose_activism","activism.6.player.round_payoff","activism.6.player.seat_number","activism.6.group.id_in_subsession","activism.6.group.num_activists","activism.6.group.num_roadblockers","activism.6.group.treatment","activism.6.subsession.round_number","activism.7.player.id_in_group","activism.7.player.role","activism.7.player.payoff","activism.7.player.effort_score","activism.7.player.wage","activism.7.player.contribution","activism.7.player.actual_effort_time","activism.7.player.chose_activism","activism.7.player.round_payoff","activism.7.player.seat_number","activism.7.group.id_in_subsession","activism.7.group.num_activists","activism.7.group.num_roadblockers","activism.7.group.treatment","activism.7.subsession.round_number","activism.8.player.id_in_group","activism.8.player.role","activism.8.player.payoff","activism.8.player.effort_score","activism.8.player.wage","activism.8.player.contribution","activism.8.player.actual_effort_time","activism.8.player.chose_activism","activism.8.player.round_payoff","activism.8.player.seat_number","activism.8.group.id_in_subsession","activism.8.group.num_activists","activism.8.group.num_roadblockers","activism.8.group.treatment","activism.8.subsession.round_number","activism.9.player.id_in_group","activism.9.player.role","activism.9.player.payoff","activism.9.player.effort_score","activism.9.player.wage","activism.9.player.contribution","activism.9.player.actual_effort_time","activism.9.player.chose_activism","activism.9.player.round_payoff","activism.9.player.seat_number","activism.9.group.id_in_subsession","activism.9.group.num_activists","activism.9.group.num_roadblockers","activism.9.group.treatment","activism.9.subsession.round_number","activism.10.player.id_in_group","activism.10.player.role","activism.10.player.payoff","activism.10.player.effort_score","activism.10.player.wage","activism.10.player.contribution","activism.10.player.actual_effort_time","activism.10.player.chose_activism","activism.10.player.round_payoff","activism.10.player.seat_number","activism.10.group.id_in_subsession","activism.10.group.num_activists","activism.10.group.num_roadblockers","activism.10.group.treatment","activism.10.subsession.round_number","activism.11.player.id_in_group","activism.11.player.role","activism.11.player.payoff","activism.11.player.effort_score","activism.11.player.wage","activism.11.player.contribution","activism.11.player.actual_effort_time","activism.11.player.chose_activism","activism.11.player.round_payoff","activism.11.player.seat_number","activism.11.group.id_in_subsession","activism.11.group.num_activists","activism.11.group.num_roadblockers","activism.11.group.treatment","activism.11.subsession.round_number","activism.12.player.id_in_group","activism.12.player.role","activism.12.player.payoff","activism.12.player.effort_score","activism.12.player.wage","activism.12.player.contribution","activism.12.player.actual_effort_time","activism.12.player.chose_activism","activism.12.player.round_payoff","activism.12.player.seat_number","activism.12.group.id_in_subsession","activism.12.group.num_activists","activism.12.group.num_roadblockers","activism.12.group.treatment","activism.12.subsession.round_number","activism.13.player.id_in_group","activism.13.player.role","activism.13.player.payoff","activism.13.player.effort_score","activism.13.player.wage","activism.13.player.contribution","activism.13.player.actual_effort_time","activism.13.player.chose_activism","activism.13.player.round_payoff","activism.13.player.seat_number","activism.13.group.id_in_subsession","activism.13.group.num_activists","activism.13.group.num_roadblockers","activism.13.group.treatment","activism.13.subsession.round_number","activism.14.player.id_in_group","activism.14.player.role","activism.14.player.payoff","activism.14.player.effort_score","activism.14.player.wage","activism.14.player.contribution","activism.14.player.actual_effort_time","activism.14.player.chose_activism","activism.14.player.round_payoff","activism.14.player.seat_number","activism.14.group.id_in_subsession","activism.14.group.num_activists","activism.14.group.num_roadblockers","activism.14.group.treatment","activism.14.subsession.round_number","questionnaire.1.player.id_in_group","questionnaire.1.player.role","questionnaire.1.player.payoff","questionnaire.1.player.q1_support","questionnaire.1.player.q1_pressure","questionnaire.1.player.q1_convincing","questionnaire.1.player.q1_too_extreme","questionnaire.1.player.q1_no_earnings_effect","questionnaire.1.player.q1_reciprocate","questionnaire.1.player.q1_autonomy","questionnaire.1.player.q1_motivation_other","questionnaire.1.player.q2_activism_choice","questionnaire.1.player.q3_personal_cost","questionnaire.1.player.q4_cost_to_others","questionnaire.1.player.q5_extremity","questionnaire.1.player.q6_legitimacy","questionnaire.1.player.q7_social_id","questionnaire.1.player.q8_compassion","questionnaire.1.player.q8_sympathy","questionnaire.1.player.q8_annoyance","questionnaire.1.group.id_in_subsession","questionnaire.1.subsession.round_number","activism.1.group.total_contribution","activism.2.group.total_contribution","activism.3.group.total_contribution","activism.4.group.total_contribution","activism.5.group.total_contribution","activism.6.group.total_contribution","activism.7.group.total_contribution","activism.8.group.total_contribution","activism.9.group.total_contribution","activism.10.group.total_contribution","activism.11.group.total_contribution","activism.12.group.total_contribution","activism.13.group.total_contribution","activism.14.group.total_contribution","pct_complete","session_num","seat_num","Age_Years","Nationality","Gender","Field_of_Study","Year_of_Study_Semester","Degree_Programme","Work_Experience","Highest_Education_Level","Employment","Monthly_Disposable_Income_EUR","Political_Orientation_0_10","General_Trust_0_10","Risk_Willingness_0_10","Charitable_Donations"
1,"7m52afu6",15,0,143,143,"questionnaire","ThankYou","2026-06-09 08:44:59.388407",1,NA,NA,13.8,"roadblock",6,1780995727.29459,"ahosr93r",NA,NA,NA,NA,0,"activism_pet_first",5,NA,NA,4,NA,0,4,40,20,45,NA,66,15,3,NA,NA,"roadblock",1,4,NA,0,8,80,35,45,NA,107,NA,3,NA,NA,"roadblock",2,4,NA,0,8,80,35,45,NA,95,NA,3,NA,NA,"roadblock",3,4,NA,0,6,60,10,45,NA,114,NA,3,NA,NA,"roadblock",4,4,NA,0,7,70,15,45,NA,65,NA,3,NA,NA,"roadblock",5,4,NA,0,7,70,10,45,NA,92,NA,3,NA,NA,"roadblock",6,4,NA,0,7,70,10,45,NA,68,NA,3,NA,NA,"roadblock",7,4,NA,0,6,60,10,35,1,114,NA,3,3,3,"roadblock",8,4,NA,0,5,50,5,35,1,107,NA,3,4,4,"roadblock",9,4,NA,0,8,80,10,40,0,148,NA,3,3,3,"roadblock",10,4,NA,0,6,60,5,35,1,85,NA,3,3,3,"roadblock",11,4,NA,0,7,70,5,40,0,69,NA,3,2,2,"roadblock",12,4,NA,0,7,70,10,35,1,66,NA,3,2,2,"roadblock",13,4,NA,0,4,40,3,35,1,42.2,NA,3,2,2,"roadblock",14,1,NA,0,1,0,0,0,0,0,1,NA,"Petition (0 cost to you)",4,5,3,4,3,3,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5294117647059,1,15,22,"Ukraine","Woman","Business Communication","1-2","MSc.","1-2","BSc.","Full-time","200",3,1,7,"Regularly"
2,"espz8kdk",14,0,76,143,"activism","EffortTask","2026-06-09 08:44:59.584790",1,NA,NA,0,"petition",NA,NA,"ahosr93r",NA,NA,NA,NA,0,"activism_pet_first",5,NA,NA,3,NA,0,7,70,50,45,NA,76,14,1,NA,NA,"petition",1,3,NA,0,9,90,60,45,NA,118,NA,1,NA,NA,"petition",2,3,NA,0,7,70,70,45,NA,76,NA,1,NA,NA,"petition",3,3,NA,0,8,80,60,45,NA,108,NA,1,NA,NA,"petition",4,3,NA,0,9,90,80,45,NA,106,NA,1,NA,NA,"petition",5,3,NA,0,11,110,110,45,NA,112,NA,1,NA,NA,"petition",6,3,NA,0,11,110,110,45,NA,98,NA,1,NA,NA,"petition",7,3,NA,0,NA,NA,NA,NA,1,NA,NA,1,3,0,"petition",8,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",9,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",10,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",11,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",12,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",13,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",14,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4264705882353,1,14,21,"Austria","Man","International Business Administration","1-2","BSc.","1-2","Secondary School","Part-time","600",4,7,9,"Regularly"
3,"i3q8rdlg",7,0,38,143,"activism","WaitForResults","2026-06-09 08:44:59.627585",1,NA,NA,0,"petition",NA,NA,"ahosr93r",NA,NA,NA,NA,0,"activism_pet_first",5,NA,NA,4,NA,0,6,60,25,45,NA,69,7,7,NA,NA,"petition",1,4,NA,0,7,70,30,45,NA,96,NA,7,NA,NA,"petition",2,4,NA,0,6,60,25,45,NA,73,NA,7,NA,NA,"petition",3,4,NA,0,8,80,35,45,NA,NA,NA,7,NA,NA,"petition",4,4,NA,0,NA,NA,NA,45,NA,NA,NA,7,NA,NA,"petition",5,4,NA,0,NA,NA,NA,45,NA,NA,NA,7,NA,NA,"petition",6,4,NA,0,NA,NA,NA,45,NA,NA,NA,7,NA,NA,"petition",7,4,NA,0,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,"petition",8,4,NA,0,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,"petition",9,4,NA,0,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,"petition",10,4,NA,0,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,"petition",11,4,NA,0,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,"petition",12,4,NA,0,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,"petition",13,4,NA,0,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,"petition",14,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5441176470588,1,7,19,"Czechian","Woman","Business Law","1-2","BSc","None","Secondary School","In education","300",1,0,5,"Once"
4,"9varpwsl",25,0,78,143,"activism","WaitForResults","2026-06-09 08:44:59.654095",1,NA,NA,0,"petition",NA,NA,"ahosr93r",NA,NA,NA,NA,0,"activism_pet_first",5,NA,NA,1,NA,0,7,70,10,45,NA,116,25,1,NA,NA,"petition",1,1,NA,0,11,110,20,45,NA,178,NA,1,NA,NA,"petition",2,1,NA,0,9,90,10,45,NA,156,NA,1,NA,NA,"petition",3,1,NA,0,12,120,20,45,NA,188,NA,1,NA,NA,"petition",4,1,NA,0,11,110,10,45,NA,196,NA,1,NA,NA,"petition",5,1,NA,0,12,120,20,45,NA,212,NA,1,NA,NA,"petition",6,1,NA,0,12,120,10,45,NA,208,NA,1,NA,NA,"petition",7,1,NA,0,10,100,10,45,0,NA,NA,1,3,0,"petition",8,1,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",9,1,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",10,1,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",11,1,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",12,1,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",13,1,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",14,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8970588235294,1,25,22,"Austria","Woman","Business Law","3-4","BSc","3-5 years","Secondary School","Part-time","500",5,4,6,"No"
5,"comjjap2",22,0,57,143,"activism","Contribute","2026-06-09 08:44:59.664365",1,NA,NA,0,"roadblock",NA,NA,"ahosr93r",NA,NA,NA,NA,0,"activism_pet_first",5,NA,NA,1,NA,0,7,70,20,45,NA,120,22,6,NA,NA,"roadblock",1,1,NA,0,9,90,40,45,NA,146,NA,6,NA,NA,"roadblock",2,1,NA,0,9,90,45,45,NA,135,NA,6,NA,NA,"roadblock",3,1,NA,0,11,110,50,45,NA,168,NA,6,NA,NA,"roadblock",4,1,NA,0,8,80,20,45,NA,100,NA,6,NA,NA,"roadblock",5,1,NA,0,11,110,NA,45,NA,NA,NA,6,NA,NA,"roadblock",6,1,NA,0,NA,NA,NA,45,NA,NA,NA,6,NA,NA,"roadblock",7,1,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",8,1,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",9,1,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",10,1,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",11,1,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",12,1,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",13,1,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",14,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1176470588235,1,22,22,"Russia","Woman","Linguistics","1-2","BSc.","3-5","Secondary School","Full-time","1000",2,7,8,"Once"
6,"grzk7t4j",27,0,78,143,"activism","WaitForResults","2026-06-09 08:44:59.851162",1,NA,NA,0,"petition",NA,NA,"ahosr93r",NA,NA,NA,NA,0,"activism_pet_first",5,NA,NA,4,NA,0,5,50,20,45,NA,86,27,1,NA,NA,"petition",1,4,NA,0,9,90,30,45,NA,148,NA,1,NA,NA,"petition",2,4,NA,0,9,90,30,45,NA,136,NA,1,NA,NA,"petition",3,4,NA,0,11,110,30,45,NA,168,NA,1,NA,NA,"petition",4,4,NA,0,10,100,30,45,NA,166,NA,1,NA,NA,"petition",5,4,NA,0,10,100,30,45,NA,182,NA,1,NA,NA,"petition",6,4,NA,0,11,110,35,45,NA,173,NA,1,NA,NA,"petition",7,4,NA,0,11,110,30,45,1,NA,NA,1,3,0,"petition",8,4,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",9,4,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",10,4,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",11,4,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",12,4,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",13,4,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"petition",14,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8970588235294,1,27,21,"German","Man","Business Administration","3-4","BSc","1-2 years","Secondary School","In education","700",5,6,8,"Once"
7,"2a57mkrx",9,0,143,143,"questionnaire","ThankYou","2026-06-09 08:44:59.959539",1,NA,NA,14.1,"demonstration",2,1780995875.40039,"ahosr93r",NA,NA,NA,NA,0,"activism_pet_first",5,NA,NA,3,NA,0,6,60,60,45,NA,28.8,9,5,NA,NA,"demonstration",1,3,NA,0,10,100,60,45,NA,94,NA,5,NA,NA,"demonstration",2,3,NA,0,7,70,70,45,NA,88,NA,5,NA,NA,"demonstration",3,3,NA,0,9,90,90,45,NA,85.6,NA,5,NA,NA,"demonstration",4,3,NA,0,10,100,60,45,NA,100,NA,5,NA,NA,"demonstration",5,3,NA,0,10,100,60,45,NA,136,NA,5,NA,NA,"demonstration",6,3,NA,0,11,110,70,45,NA,104,NA,5,NA,NA,"demonstration",7,3,NA,0,9,90,0,35,1,124,NA,5,1,0,"demonstration",8,3,NA,0,11,110,70,45,0,104,NA,5,1,0,"demonstration",9,3,NA,0,12,120,60,45,0,94,NA,5,0,0,"demonstration",10,3,NA,0,12,120,0,45,0,131.2,NA,5,0,0,"demonstration",11,3,NA,0,9,90,0,45,0,98,NA,5,0,0,"demonstration",12,3,NA,0,12,120,0,45,0,124,NA,5,0,0,"demonstration",13,3,NA,0,12,120,0,45,0,122,NA,5,0,0,"demonstration",14,7,NA,0,0,0,0,1,0,0,0,"Not being an activist and still sharing would have been the most effecient option for everybody involved","Petition (0 cost to you)",4,2,2,2,2,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.8970588235294,1,9,19,"Austria","Man",NA,"1-2","BSc.","1-2","Secondary School","In education","600",NA,NA,NA,NA
8,"8gd3793t",19,0,143,143,"questionnaire","ThankYou","2026-06-09 08:45:00.076774",1,NA,NA,13.65,"petition",6,1780995820.5651,"ahosr93r",NA,NA,NA,NA,0,"activism_pet_first",5,NA,NA,3,NA,0,2,20,10,45,NA,42,19,4,NA,NA,"petition",1,3,NA,0,8,80,40,45,NA,92,NA,4,NA,NA,"petition",2,3,NA,0,5,50,20,45,NA,78,NA,4,NA,NA,"petition",3,3,NA,0,9,90,45,45,NA,107,NA,4,NA,NA,"petition",4,3,NA,0,7,70,25,45,NA,91,NA,4,NA,NA,"petition",5,3,NA,0,8,80,35,45,NA,91,NA,4,NA,NA,"petition",6,3,NA,0,6,60,25,45,NA,63.8,NA,4,NA,NA,"petition",7,3,NA,0,5,50,20,45,1,110,NA,4,4,NA,"petition",8,3,NA,0,5,50,20,45,1,98,NA,4,4,0,"petition",9,3,NA,0,9,90,40,45,0,106,NA,4,3,0,"petition",10,3,NA,0,8,80,30,45,0,90,NA,4,2,0,"petition",11,3,NA,0,7,70,20,45,1,98,NA,4,4,0,"petition",12,3,NA,0,8,80,20,45,0,80,NA,4,1,0,"petition",13,3,NA,0,7,70,20,45,1,86,NA,4,4,0,"petition",14,8,NA,0,1,0,0,0,1,1,0,NA,"Petition (0 cost to you)",3,3,2,2,1,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.1617647058823,1,19,41,"Austria","Man","Sociology","1-2","MSc.","> 5 years","MSc.","Part-time","500",3,6,3,"Regularly"
9,"pj0tky4n",24,0,58,143,"activism","WaitForResults","2026-06-09 08:45:00.452987",1,NA,NA,0,"roadblock",NA,NA,"ahosr93r",NA,NA,NA,NA,0,"activism_pet_first",5,NA,NA,3,NA,0,2,20,10,45,NA,80,24,6,NA,NA,"roadblock",1,3,NA,0,6,60,40,45,NA,116,NA,6,NA,NA,"roadblock",2,3,NA,0,9,90,0,45,NA,180,NA,6,NA,NA,"roadblock",3,3,NA,0,8,80,10,45,NA,178,NA,6,NA,NA,"roadblock",4,3,NA,0,10,100,0,45,NA,140,NA,6,NA,NA,"roadblock",5,3,NA,0,10,100,0,45,NA,NA,NA,6,NA,NA,"roadblock",6,3,NA,0,NA,NA,NA,45,NA,NA,NA,6,NA,NA,"roadblock",7,3,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",8,3,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",9,3,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",10,3,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",11,3,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",12,3,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",13,3,NA,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"roadblock",14,9,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4852941176471,1,24,26,"Iran","Man","Economics","1-2","MSc.","3-5","BSc.","Part-time","300",7,2,8,"Regularly"
10,"hapbqcq1",12,0,143,143,"questionnaire","ThankYou","2026-06-09 08:45:00.549471",1,NA,NA,14.1,"demonstration",2,1780995881.68788,"ahosr93r",NA,NA,NA,NA,0,"activism_pet_first",5,NA,NA,1,NA,0,3,30,2,45,NA,56.8,12,5,NA,NA,"demonstration",1,1,NA,0,9,90,50,45,NA,94,NA,5,NA,NA,"demonstration",2,1,NA,0,10,100,90,45,NA,98,NA,5,NA,NA,"demonstration",3,1,NA,0,9,90,70,45,NA,105.6,NA,5,NA,NA,"demonstration",4,1,NA,0,7,70,10,45,NA,120,NA,5,NA,NA,"demonstration",5,1,NA,0,13,130,100,45,NA,126,NA,5,NA,NA,"demonstration",6,1,NA,0,8,80,40,45,NA,104,NA,5,NA,NA,"demonstration",7,1,NA,0,11,110,60,45,0,84,NA,5,1,0,"demonstration",8,1,NA,0,6,60,60,35,1,64,NA,5,1,0,"demonstration",9,1,NA,0,13,130,0,45,0,164,NA,5,0,0,"demonstration",10,1,NA,0,11,110,0,45,0,121.2,NA,5,0,0,"demonstration",11,1,NA,0,10,100,0,45,0,108,NA,5,0,0,"demonstration",12,1,NA,0,12,120,0,45,0,124,NA,5,0,0,"demonstration",13,1,NA,0,9,90,0,45,0,92,NA,5,0,0,"demonstration",14,10,NA,0,0,1,0,0,0,0,1,NA,"Petition (0 cost to you)",5,5,5,4,3,2,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5294117647059,1,12,21,"Germany","Man","Business","3-4","BSc.","< 1 year","Secondary School","In education","750",6,4,7,"No"
