session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
eke4zikg,13,dsuc1l1l,127,activism,Contribute,1781004928,13,0,0
eke4zikg,1,upbg3wki,127,activism,Contribute,1781004930,13,0,0
eke4zikg,12,ipogsi9b,127,activism,Contribute,1781004931,13,0,0
eke4zikg,24,3h2zndiv,127,activism,Contribute,1781004932,13,0,0
eke4zikg,24,3h2zndiv,128,activism,WaitForResults,1781004932,13,0,1
eke4zikg,1,upbg3wki,128,activism,WaitForResults,1781004932,13,0,1
eke4zikg,12,ipogsi9b,128,activism,WaitForResults,1781004932,13,0,1
eke4zikg,13,dsuc1l1l,128,activism,WaitForResults,1781004932,13,0,1
eke4zikg,24,3h2zndiv,129,activism,RoundResults,1781004934,13,0,0
eke4zikg,1,upbg3wki,129,activism,RoundResults,1781004934,13,0,0
eke4zikg,1,upbg3wki,134,activism,ActivismChoice,1781004935,14,0,0
eke4zikg,13,dsuc1l1l,129,activism,RoundResults,1781004935,13,0,0
eke4zikg,12,ipogsi9b,129,activism,RoundResults,1781004936,13,0,0
eke4zikg,13,dsuc1l1l,134,activism,ActivismChoice,1781004937,14,0,0
eke4zikg,12,ipogsi9b,134,activism,ActivismChoice,1781004938,14,0,0
eke4zikg,24,3h2zndiv,134,activism,ActivismChoice,1781004940,14,0,0
eke4zikg,12,ipogsi9b,135,activism,WaitForActivism,1781004940,14,0,1
eke4zikg,13,dsuc1l1l,135,activism,WaitForActivism,1781004940,14,0,1
eke4zikg,1,upbg3wki,135,activism,WaitForActivism,1781004940,14,0,1
eke4zikg,24,3h2zndiv,135,activism,WaitForActivism,1781004940,14,0,1
eke4zikg,1,upbg3wki,136,activism,EffortTask,1781004975,14,1,0
eke4zikg,12,ipogsi9b,136,activism,EffortTask,1781004975,14,1,0
eke4zikg,24,3h2zndiv,136,activism,EffortTask,1781004975,14,1,0
eke4zikg,13,dsuc1l1l,136,activism,EffortTask,1781004976,14,1,0
eke4zikg,1,upbg3wki,137,activism,Contribute,1781004976,14,0,0
eke4zikg,12,ipogsi9b,137,activism,Contribute,1781004977,14,0,0
eke4zikg,24,3h2zndiv,137,activism,Contribute,1781004980,14,0,0
eke4zikg,13,dsuc1l1l,137,activism,Contribute,1781004982,14,0,0
eke4zikg,1,upbg3wki,138,activism,WaitForResults,1781004982,14,0,1
eke4zikg,12,ipogsi9b,138,activism,WaitForResults,1781004982,14,0,1
eke4zikg,13,dsuc1l1l,138,activism,WaitForResults,1781004982,14,0,1
eke4zikg,24,3h2zndiv,138,activism,WaitForResults,1781004982,14,0,1
eke4zikg,13,dsuc1l1l,139,activism,RoundResults,1781004984,14,0,0
eke4zikg,1,upbg3wki,139,activism,RoundResults,1781004984,14,0,0
eke4zikg,1,upbg3wki,140,activism,Conclusion,1781004986,14,0,0
eke4zikg,24,3h2zndiv,139,activism,RoundResults,1781004987,14,0,0
eke4zikg,12,ipogsi9b,139,activism,RoundResults,1781004988,14,0,0
eke4zikg,24,3h2zndiv,140,activism,Conclusion,1781004988,14,0,0
eke4zikg,12,ipogsi9b,140,activism,Conclusion,1781004989,14,0,0
eke4zikg,13,dsuc1l1l,140,activism,Conclusion,1781004990,14,0,0
eke4zikg,12,ipogsi9b,141,questionnaire,Questionnaire,1781004998,1,0,0
eke4zikg,13,dsuc1l1l,141,questionnaire,Questionnaire,1781005001,1,0,0
eke4zikg,1,upbg3wki,141,questionnaire,Questionnaire,1781005014,1,0,0
tdmddbpq,1,r6cd7e3m,0,,InitializeParticipant,1781012126,1,0,0
tdmddbpq,2,gl3plip3,0,,InitializeParticipant,1781012126,1,0,0
tdmddbpq,3,0m90edei,0,,InitializeParticipant,1781012127,1,0,0
tdmddbpq,4,mo19ix9u,0,,InitializeParticipant,1781012127,1,0,0
tdmddbpq,5,omy7uxz8,0,,InitializeParticipant,1781012127,1,0,0
tdmddbpq,6,hw7ddtgh,0,,InitializeParticipant,1781012127,1,0,0
tdmddbpq,7,emq43ot6,0,,InitializeParticipant,1781012127,1,0,0
tdmddbpq,8,zwt9mabo,0,,InitializeParticipant,1781012127,1,0,0
tdmddbpq,9,678275og,0,,InitializeParticipant,1781012127,1,0,0
